Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Neckline (product.metafields.shopify.neckline),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
luminixs-streetwear-snoopy-graffiti-sweatshirt,LUMINIX's - Streetwear Snoopy Graffiti Sweatshirt,"<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" data-turn-id=""request-WEB:197b84d8-dafe-47eb-8ac4-4c444ec5d205-11"" data-testid=""conversation-turn-4"" data-scroll-anchor=""true"" data-turn=""assistant"" tabindex=""-1"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:--spacing(4)] thread-sm:[--thread-content-margin:--spacing(6)] thread-lg:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] thread-lg:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div data-message-author-role=""assistant"" data-message-id=""70dc70b1-45e0-476b-b4ca-8c20819001ab"" dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"" data-message-model-slug=""gpt-5-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[1px]"">
<div class=""markdown prose dark:prose-invert w-full break-words dark markdown-new-styling"">
<ul data-start=""76"" data-end=""390"" data-is-last-node="""" data-is-only-node="""">
<li data-start=""76"" data-end=""116"">
<p data-start=""78"" data-end=""116"">Soft, breathable cotton-blend fleece</p>
</li>
<li data-start=""117"" data-end=""161"">
<p data-start=""119"" data-end=""161"">Relaxed, unisex fit for everyday comfort</p>
</li>
<li data-start=""162"" data-end=""225"">
<p data-start=""164"" data-end=""225"">Ribbed cuffs, collar, and hem for a secure, structured look</p>
</li>
<li data-start=""226"" data-end=""270"">
<p data-start=""228"" data-end=""270"">Smooth brushed interior for added warmth</p>
</li>
<li data-start=""271"" data-end=""304"">
<p data-start=""273"" data-end=""304"">Durable double-stitched seams</p>
</li>
<li data-start=""305"" data-end=""349"">
<p data-start=""307"" data-end=""349"">Ideal for layering or wearing on its own</p>
</li>
<li data-start=""350"" data-end=""390"" data-is-last-node="""">
<p data-start=""352"" data-end=""390"" data-is-last-node="""">Available in multiple colors and sizes</p>
</li>
</ul>
</div>
</div>
</div>
</div>
<div class=""z-0 flex min-h-[46px] justify-start""><br></div>
<div class=""mt-3 w-full empty:hidden"">
<div class=""text-center""><br></div>
</div>
</div>
</div>
</article>",LUMINIX,Apparel & Accessories > Clothing > Clothing Tops > Sweatshirts,"","",true,Size,s,product.metafields.shopify.size,,,,,,,,0.0,shopify,5,deny,manual,1.00,899.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_d5a386d7-ca85-46df-8920-94c0189e06b7.png?v=1763593507,1,"",false,,,,,,,,adults; teens,,white,cotton,,round,,s; m; l; xl; 2xl,,unisex,medium,,kg,,,active
luminixs-streetwear-snoopy-graffiti-sweatshirt,,,,,,,,,m,,,,,,,,,0.0,shopify,4,deny,manual,1.00,899.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_4_27429412-dd84-42e1-83e0-b510b936de37.png?v=1763593507,2,"",,,,,,,,,,,,,,,,,,,,,kg,,,
luminixs-streetwear-snoopy-graffiti-sweatshirt,,,,,,,,,l,,,,,,,,,0.0,shopify,4,deny,manual,1.00,899.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_3_d432268f-3b5e-4717-9569-8b30bbf1bd04.png?v=1763593507,3,"",,,,,,,,,,,,,,,,,,,,,kg,,,
luminixs-streetwear-snoopy-graffiti-sweatshirt,,,,,,,,,xl,,,,,,,,,0.0,shopify,6,deny,manual,1.00,899.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_2_65828389-2b86-4808-92a8-99f9b1b24cad.png?v=1763593507,4,"",,,,,,,,,,,,,,,,,,,,,kg,,,
luminixs-streetwear-snoopy-graffiti-sweatshirt,,,,,,,,,2xl,,,,,,,,,0.0,shopify,3,deny,manual,1.00,899.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_5_b934613e-49e6-4442-9354-92a42a5398f6.png?v=1763593507,5,"",,,,,,,,,,,,,,,,,,,,,kg,,,
luminixs-premium-streetwear-hoodie,LUMINIX's - Premium Streetwear Hoodie,"<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" data-turn-id=""request-WEB:197b84d8-dafe-47eb-8ac4-4c444ec5d205-13"" data-testid=""conversation-turn-6"" data-scroll-anchor=""true"" data-turn=""assistant"" tabindex=""-1"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:--spacing(4)] thread-sm:[--thread-content-margin:--spacing(6)] thread-lg:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] thread-lg:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div data-message-author-role=""assistant"" data-message-id=""2b2a1bc7-9b9a-418e-a827-5284b4891122"" dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"" data-message-model-slug=""gpt-5-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[1px]"">
<div class=""markdown prose dark:prose-invert w-full break-words dark markdown-new-styling"">
<ul data-start=""66"" data-end=""476"" data-is-last-node="""" data-is-only-node="""">
<li data-start=""66"" data-end=""121"">
<p data-start=""68"" data-end=""121"">Premium cotton-blend fleece for softness and warmth</p>
</li>
<li data-start=""122"" data-end=""173"">
<p data-start=""124"" data-end=""173"">Adjustable drawstring hood for a customized fit</p>
</li>
<li data-start=""174"" data-end=""230"">
<p data-start=""176"" data-end=""230"">Spacious kangaroo pocket for convenience and comfort</p>
</li>
<li data-start=""231"" data-end=""287"">
<p data-start=""233"" data-end=""287"">Ribbed cuffs and hem for a secure, structured finish</p>
</li>
<li data-start=""288"" data-end=""337"">
<p data-start=""290"" data-end=""337"">Relaxed unisex fit suitable for everyday wear</p>
</li>
<li data-start=""338"" data-end=""389"">
<p data-start=""340"" data-end=""389"">Durable stitching designed for long-lasting use</p>
</li>
<li data-start=""390"" data-end=""433"">
<p data-start=""392"" data-end=""433"">Cozy brushed interior for added comfort</p>
</li>
<li data-start=""434"" data-end=""476"" data-is-last-node="""">
<p data-start=""436"" data-end=""476"" data-is-last-node="""">Available in a range of colors and sizes</p>
</li>
</ul>
</div>
</div>
</div>
</div>
<div class=""z-0 flex min-h-[46px] justify-start""><br></div>
<div class=""mt-3 w-full empty:hidden"">
<div class=""text-center""><br></div>
</div>
</div>
</div>
</article>",LUMINIX,Apparel & Accessories > Clothing > Clothing Tops > Hoodies,"","",true,Size,s,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,799.00,999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_3_10e76170-f56e-485f-8758-389e4034f951.png?v=1763593374,1,"",false,,,,,,,,adults; teens,insulated,navy-blazer; blue,cotton; fleece,,hooded,,s; m; l; xl; 2xl,,unisex,medium,,kg,,,active
luminixs-premium-streetwear-hoodie,,,,,,,,,m,,,,,,,,,0.0,shopify,0,deny,manual,799.00,999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_53c69488-aad8-461b-8bb8-abfb17c471c7.png?v=1763593374,2,"",,,,,,,,,,,,,,,,,,,,,kg,,,
luminixs-premium-streetwear-hoodie,,,,,,,,,l,,,,,,,,,0.0,shopify,0,deny,manual,799.00,999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_1_fcdad3cd-f328-451a-b97b-cb95a0d5cc82.png?v=1763593374,3,"",,,,,,,,,,,,,,,,,,,,,kg,,,
luminixs-premium-streetwear-hoodie,,,,,,,,,xl,,,,,,,,,0.0,shopify,0,deny,manual,799.00,999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_2_6f9199af-feeb-4fb1-b9d0-b1c18f4d5152.png?v=1763593374,4,"",,,,,,,,,,,,,,,,,,,,,kg,,,
luminixs-premium-streetwear-hoodie,,,,,,,,,2xl,,,,,,,,,0.0,shopify,0,deny,manual,799.00,999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/7665/2519/files/download_4_6b588a9e-0064-4ebc-9715-7fff3fff8d69.png?v=1763593374,5,"",,,,,,,,,,,,,,,,,,,,,kg,,,
